rep000_seed0000	CFF000428	CFF000670	CFF000672	CFF001027	CFF001554	CFF000424	CFF000605	CFF001201	CFF000062	CFF000500	CFF000063	CFF000437	CFF000379	CFF001257	CFF000044	CFF000622	CFF000624	CFF000178
rep248_seed2273	FAM003719	FAM000848	FAM000463	FAM013994	FAM002312	FAM008508	FAM008841	FAM008578	FAM002697	FAM012928	FAM012194	FAM011676	FAM003553	FAM004689	FAM002067	FAM013486	FAM002624	FAM004716
rep249_seed2274	FAM009596	FAM001965	FAM007895	FAM006117	FAM007767	FAM002826	FAM001248	FAM004888	FAM002499	FAM012530	FAM000195	FAM010375	FAM010088	FAM001144	FAM012687	FAM001973	FAM010672	FAM001126
rep250_seed2275	FAM004358	FAM011248	FAM010451	FAM010859	FAM002400	FAM000297	FAM002424	FAM005525	FAM001209	FAM001492	FAM009710	FAM000254	FAM007673	FAM003715	FAM013070	FAM000115	FAM007087	FAM000058
rep251_seed2276	FAM004030	FAM003951	FAM006774	FAM002170	FAM003029	FAM002262	FAM004297	FAM001570	FAM008335	FAM013044	FAM011796	FAM005401	FAM005460	FAM008149	FAM003013	FAM000252	FAM002387	FAM000154
rep252_seed2277	FAM004055	FAM006613	FAM004727	FAM000709	FAM001350	FAM002871	FAM001976	FAM009440	FAM001888	FAM003268	FAM005441	FAM012125	FAM006829	FAM002493	FAM013497	FAM000713	FAM008004	FAM002424
rep253_seed2278	FAM003920	FAM001905	FAM000286	FAM001101	FAM004077	FAM000579	FAM007552	FAM000894	FAM002793	FAM000608	FAM008356	FAM001163	FAM007580	FAM013120	FAM003900	FAM009961	FAM006939	FAM000823
rep254_seed2279	FAM008899	FAM002404	FAM000908	FAM001283	FAM005249	FAM006491	FAM002538	FAM002559	FAM012723	FAM001788	FAM011804	FAM004190	FAM002205	FAM003777	FAM007277	FAM001002	FAM000757	FAM000126
rep255_seed2280	FAM002541	FAM001900	FAM004916	FAM009085	FAM000706	FAM004647	FAM008558	FAM001479	FAM000551	FAM001670	FAM001541	FAM001362	FAM011848	FAM007277	FAM004302	FAM003292	FAM004439	FAM000361
rep256_seed2281	FAM004840	FAM012630	FAM003565	FAM005188	FAM001909	FAM002634	FAM004915	FAM000740	FAM007518	FAM004126	FAM006468	FAM000487	FAM003013	FAM010415	FAM001766	FAM012255	FAM006007	FAM010391
rep257_seed2282	FAM001061	FAM011157	FAM006288	FAM004404	FAM002885	FAM000714	FAM001474	FAM002595	FAM001637	FAM002489	FAM008240	FAM000080	FAM002368	FAM002299	FAM008129	FAM009411	FAM013837	FAM007589
rep258_seed2283	FAM007611	FAM005675	FAM000688	FAM002548	FAM000519	FAM002114	FAM000317	FAM006172	FAM004083	FAM004068	FAM012951	FAM000945	FAM009467	FAM012923	FAM001361	FAM008715	FAM000108	FAM001237
rep259_seed2284	FAM001510	FAM003410	FAM008355	FAM002515	FAM001292	FAM003643	FAM000429	FAM003175	FAM002583	FAM007096	FAM004317	FAM006846	FAM001071	FAM000723	FAM007507	FAM001217	FAM008302	FAM003517
rep260_seed2285	FAM012285	FAM000528	FAM007685	FAM002521	FAM011790	FAM000712	FAM002417	FAM007621	FAM004998	FAM000995	FAM009100	FAM000136	FAM003557	FAM011608	FAM001139	FAM002064	FAM001512	FAM005839
rep261_seed2286	FAM004119	FAM007030	FAM010239	FAM002838	FAM002008	FAM000999	FAM000240	FAM000701	FAM002414	FAM010573	FAM007503	FAM013626	FAM006383	FAM000355	FAM008894	FAM005519	FAM002635	FAM003379
rep262_seed2287	FAM002882	FAM002766	FAM003517	FAM002788	FAM006549	FAM005287	FAM003617	FAM004430	FAM007785	FAM000036	FAM003382	FAM000939	FAM000786	FAM005590	FAM011532	FAM011680	FAM009103	FAM001690
rep263_seed2288	FAM006182	FAM002820	FAM013624	FAM012588	FAM005621	FAM002184	FAM004168	FAM005178	FAM002302	FAM004477	FAM003846	FAM001889	FAM001543	FAM000468	FAM012126	FAM000189	FAM012493	FAM000595
rep264_seed2289	FAM014618	FAM001568	FAM005566	FAM007925	FAM006447	FAM006335	FAM010367	FAM012828	FAM000193	FAM001319	FAM001238	FAM000604	FAM001844	FAM001000	FAM002585	FAM003224	FAM000465	FAM002032
rep265_seed2290	FAM003839	FAM004394	FAM002777	FAM005947	FAM012464	FAM000385	FAM000287	FAM001889	FAM012770	FAM001242	FAM000766	FAM000413	FAM000490	FAM007699	FAM001501	FAM002750	FAM006041	FAM009247
rep266_seed2291	FAM000052	FAM004695	FAM004867	FAM002316	FAM006780	FAM002619	FAM004392	FAM012835	FAM003220	FAM006947	FAM003387	FAM007208	FAM003750	FAM012928	FAM008532	FAM006339	FAM000604	FAM008872
rep267_seed2292	FAM005396	FAM010651	FAM002995	FAM005489	FAM001136	FAM001794	FAM013965	FAM006913	FAM004906	FAM000169	FAM004210	FAM009564	FAM003911	FAM008812	FAM001612	FAM005962	FAM002040	FAM002039
rep268_seed2293	FAM000128	FAM009769	FAM001917	FAM004713	FAM010239	FAM000947	FAM004649	FAM006234	FAM010885	FAM011940	FAM000843	FAM011090	FAM010527	FAM003944	FAM014371	FAM000513	FAM011847	FAM002738
rep269_seed2294	FAM013044	FAM002945	FAM009518	FAM007594	FAM001053	FAM002252	FAM000349	FAM012689	FAM000954	FAM004131	FAM000817	FAM004335	FAM005085	FAM013630	FAM000134	FAM000263	FAM003307	FAM004644
rep270_seed2295	FAM006220	FAM001967	FAM011854	FAM011417	FAM009660	FAM001603	FAM012597	FAM009934	FAM001193	FAM013985	FAM005858	FAM011523	FAM013871	FAM005376	FAM000735	FAM009684	FAM010144	FAM003696
rep271_seed2296	FAM001423	FAM004662	FAM002186	FAM001241	FAM001740	FAM002403	FAM000018	FAM011671	FAM001281	FAM006167	FAM002349	FAM000370	FAM004118	FAM004324	FAM004550	FAM012377	FAM000096	FAM013644
rep272_seed2297	FAM005431	FAM001874	FAM000339	FAM005225	FAM011791	FAM001252	FAM000639	FAM007364	FAM012423	FAM003114	FAM010104	FAM009792	FAM006700	FAM010873	FAM013213	FAM013972	FAM000442	FAM000168
rep273_seed2298	FAM001427	FAM002582	FAM000574	FAM001829	FAM002062	FAM001472	FAM003812	FAM001556	FAM001215	FAM002779	FAM000727	FAM004594	FAM001446	FAM009005	FAM004070	FAM000823	FAM007364	FAM011826
rep274_seed2299	FAM001770	FAM007015	FAM001227	FAM014136	FAM004801	FAM003316	FAM007494	FAM004297	FAM008631	FAM001479	FAM001433	FAM000328	FAM004281	FAM000798	FAM002768	FAM010208	FAM014075	FAM014382
rep275_seed2300	FAM011978	FAM003885	FAM010106	FAM003502	FAM009747	FAM002134	FAM011402	FAM000365	FAM001607	FAM005317	FAM013457	FAM005105	FAM000473	FAM001665	FAM010475	FAM003026	FAM005876	FAM005291
rep276_seed2301	FAM001530	FAM007640	FAM008695	FAM002967	FAM000753	FAM003646	FAM007854	FAM013016	FAM001462	FAM001564	FAM011687	FAM013354	FAM000837	FAM003229	FAM010829	FAM008475	FAM001853	FAM004177
rep277_seed2302	FAM005314	FAM004178	FAM001343	FAM013564	FAM012026	FAM001656	FAM005747	FAM000925	FAM000957	FAM013605	FAM003676	FAM000897	FAM009069	FAM008918	FAM000780	FAM006977	FAM006389	FAM012204
rep278_seed2303	FAM002146	FAM013969	FAM008355	FAM009417	FAM013605	FAM007805	FAM006838	FAM010334	FAM004748	FAM004320	FAM001368	FAM006111	FAM007854	FAM008395	FAM003450	FAM009414	FAM012281	FAM002928
rep279_seed2304	FAM000856	FAM003123	FAM000744	FAM007093	FAM008827	FAM001001	FAM001912	FAM004516	FAM000464	FAM002870	FAM001354	FAM004283	FAM001266	FAM012476	FAM001800	FAM008369	FAM009249	FAM003888
rep280_seed2305	FAM002444	FAM000233	FAM008251	FAM008184	FAM005727	FAM006635	FAM007507	FAM001431	FAM000117	FAM001876	FAM008165	FAM002487	FAM012219	FAM001117	FAM001112	FAM000602	FAM004266	FAM013294
rep281_seed2306	FAM013070	FAM001469	FAM007555	FAM005766	FAM003870	FAM002110	FAM009171	FAM002755	FAM006315	FAM002843	FAM004641	FAM002198	FAM001162	FAM001887	FAM004408	FAM002957	FAM006881	FAM004899
rep282_seed2307	FAM002316	FAM006774	FAM005843	FAM000499	FAM006991	FAM002435	FAM002849	FAM013012	FAM000312	FAM001106	FAM004682	FAM000546	FAM000111	FAM004561	FAM012754	FAM009084	FAM000992	FAM004383
rep283_seed2308	FAM004913	FAM011529	FAM005973	FAM003000	FAM004292	FAM013902	FAM002934	FAM002421	FAM006162	FAM005326	FAM012461	FAM002560	FAM010097	FAM000473	FAM000070	FAM013714	FAM009916	FAM005499
rep284_seed2309	FAM003509	FAM005981	FAM002355	FAM000879	FAM002211	FAM001428	FAM004510	FAM009476	FAM009162	FAM003576	FAM004035	FAM009702	FAM004334	FAM004549	FAM007725	FAM013032	FAM000407	FAM010633
rep285_seed2310	FAM005130	FAM002781	FAM013621	FAM012957	FAM002871	FAM004031	FAM004646	FAM002058	FAM011861	FAM000258	FAM000613	FAM001070	FAM002869	FAM013103	FAM005255	FAM000156	FAM009359	FAM012909
rep286_seed2311	FAM007146	FAM007919	FAM001534	FAM005013	FAM002693	FAM006020	FAM004160	FAM009004	FAM004577	FAM001289	FAM003268	FAM006016	FAM000907	FAM002278	FAM000261	FAM003934	FAM000684	FAM000359
rep287_seed2312	FAM003985	FAM003841	FAM007436	FAM001077	FAM011975	FAM001300	FAM006090	FAM004367	FAM001060	FAM005936	FAM004921	FAM011981	FAM006602	FAM010074	FAM004220	FAM002251	FAM000041	FAM005741
rep288_seed2313	FAM003649	FAM007399	FAM009971	FAM003094	FAM001336	FAM005523	FAM002232	FAM008252	FAM013962	FAM000506	FAM001676	FAM001054	FAM001090	FAM013741	FAM006977	FAM005223	FAM014075	FAM002119
rep289_seed2314	FAM013691	FAM008477	FAM003447	FAM002888	FAM005519	FAM006127	FAM000003	FAM001649	FAM012456	FAM001536	FAM012438	FAM000408	FAM000537	FAM010917	FAM003340	FAM001682	FAM007464	FAM004236
rep290_seed2315	FAM004202	FAM003099	FAM002029	FAM005919	FAM006034	FAM007779	FAM000243	FAM002729	FAM002006	FAM000850	FAM001454	FAM000552	FAM002218	FAM010144	FAM004684	FAM002609	FAM010023	FAM000242
rep291_seed2316	FAM006810	FAM003377	FAM013122	FAM005100	FAM000617	FAM009564	FAM003735	FAM004632	FAM010000	FAM003090	FAM012199	FAM013786	FAM004527	FAM001887	FAM011373	FAM004876	FAM006433	FAM010711
rep292_seed2317	FAM009243	FAM006005	FAM011256	FAM002826	FAM003937	FAM009408	FAM001278	FAM006587	FAM001299	FAM004231	FAM001311	FAM012840	FAM000334	FAM006347	FAM000336	FAM001682	FAM002583	FAM001647
rep293_seed2318	FAM000527	FAM003111	FAM010255	FAM003192	FAM011935	FAM001692	FAM000640	FAM010711	FAM002519	FAM001757	FAM012902	FAM008894	FAM006536	FAM006098	FAM002016	FAM006248	FAM002416	FAM000969
rep294_seed2319	FAM001459	FAM006330	FAM000614	FAM003682	FAM011013	FAM001993	FAM006672	FAM000517	FAM006911	FAM013792	FAM003236	FAM001956	FAM004813	FAM004209	FAM000682	FAM005882	FAM008934	FAM001325
rep295_seed2320	FAM008562	FAM011673	FAM001191	FAM002412	FAM001867	FAM010297	FAM004066	FAM010332	FAM002677	FAM002067	FAM005379	FAM000057	FAM001991	FAM002672	FAM003597	FAM002506	FAM000498	FAM000885
rep296_seed2321	FAM003558	FAM005005	FAM001147	FAM003024	FAM006138	FAM002206	FAM002873	FAM010600	FAM006586	FAM001508	FAM004819	FAM008529	FAM004559	FAM014097	FAM002145	FAM005687	FAM001642	FAM004693
rep297_seed2322	FAM000937	FAM003062	FAM006057	FAM004193	FAM005399	FAM001060	FAM003149	FAM000378	FAM002697	FAM003087	FAM003332	FAM004844	FAM001295	FAM011502	FAM002987	FAM000416	FAM002021	FAM005703
rep298_seed2323	FAM000722	FAM002227	FAM002510	FAM011120	FAM009277	FAM002770	FAM001776	FAM001290	FAM005598	FAM000235	FAM008740	FAM006804	FAM010254	FAM005158	FAM009461	FAM002723	FAM006028	FAM012716
rep299_seed2324	FAM000741	FAM000488	FAM007019	FAM005521	FAM001973	FAM000578	FAM002752	FAM006337	FAM008712	FAM003043	FAM010419	FAM001836	FAM006452	FAM002770	FAM003386	FAM000841	FAM000668	FAM007572
rep300_seed2325	FAM013791	FAM000146	FAM010672	FAM007549	FAM007027	FAM001866	FAM011677	FAM000761	FAM010291	FAM000161	FAM003712	FAM003246	FAM007482	FAM000866	FAM006500	FAM004575	FAM003345	FAM004656
rep301_seed2326	FAM008435	FAM008139	FAM002870	FAM011906	FAM006694	FAM004612	FAM014003	FAM004083	FAM002114	FAM009163	FAM004564	FAM000368	FAM009970	FAM010363	FAM000279	FAM004301	FAM001892	FAM001250
rep302_seed2327	FAM001069	FAM002381	FAM004493	FAM006747	FAM005475	FAM000034	FAM002559	FAM010467	FAM008548	FAM003259	FAM001532	FAM003491	FAM010929	FAM005816	FAM001937	FAM011068	FAM010334	FAM001540
rep303_seed2328	FAM002150	FAM006829	FAM009437	FAM008439	FAM012008	FAM000554	FAM002690	FAM013563	FAM011248	FAM004864	FAM002476	FAM003119	FAM008070	FAM005622	FAM000466	FAM001751	FAM000487	FAM009515
rep304_seed2329	FAM003310	FAM011300	FAM005010	FAM004910	FAM001473	FAM000305	FAM001768	FAM010890	FAM001635	FAM001248	FAM000173	FAM004685	FAM000727	FAM002880	FAM001267	FAM003107	FAM010782	FAM001004
rep305_seed2330	FAM008379	FAM001090	FAM003298	FAM007190	FAM004252	FAM001295	FAM002031	FAM011034	FAM005977	FAM006810	FAM010600	FAM003130	FAM004867	FAM004830	FAM000894	FAM011451	FAM000623	FAM001453
rep306_seed2331	FAM002117	FAM000510	FAM002659	FAM002675	FAM005763	FAM008296	FAM009459	FAM001368	FAM011791	FAM007973	FAM010575	FAM006645	FAM003872	FAM009873	FAM002628	FAM005767	FAM003183	FAM000530
rep307_seed2332	FAM003579	FAM009962	FAM002729	FAM000252	FAM003844	FAM004876	FAM000826	FAM007824	FAM000075	FAM012508	FAM010451	FAM007143	FAM001409	FAM004701	FAM002837	FAM008335	FAM006859	FAM011748
rep308_seed2333	FAM011133	FAM014605	FAM002459	FAM007716	FAM002426	FAM013442	FAM000777	FAM006550	FAM014695	FAM003192	FAM002338	FAM008342	FAM003795	FAM001131	FAM008035	FAM012062	FAM006881	FAM004333
rep309_seed2334	FAM004669	FAM002903	FAM000536	FAM005966	FAM004453	FAM009648	FAM011021	FAM003742	FAM002732	FAM006370	FAM007418	FAM000010	FAM000438	FAM000886	FAM003432	FAM004211	FAM003200	FAM004042
rep310_seed2335	FAM007215	FAM004865	FAM001426	FAM005424	FAM004660	FAM008664	FAM002629	FAM008960	FAM008705	FAM006417	FAM002681	FAM001250	FAM011596	FAM001228	FAM005170	FAM007143	FAM001310	FAM006027
rep311_seed2336	FAM003155	FAM004020	FAM001860	FAM002496	FAM002677	FAM002722	FAM009654	FAM001356	FAM008561	FAM007188	FAM011347	FAM001320	FAM002657	FAM004476	FAM008508	FAM000196	FAM002962	FAM014538
rep312_seed2337	FAM002454	FAM007992	FAM009311	FAM002753	FAM010174	FAM012294	FAM007535	FAM000711	FAM007965	FAM000809	FAM000417	FAM004022	FAM002070	FAM010241	FAM000103	FAM004595	FAM001533	FAM009286
rep313_seed2338	FAM007100	FAM006316	FAM011655	FAM004034	FAM003043	FAM004446	FAM008399	FAM002737	FAM005831	FAM008225	FAM002952	FAM009059	FAM006019	FAM012775	FAM005027	FAM009212	FAM010714	FAM006825
rep314_seed2339	FAM005320	FAM008995	FAM009607	FAM001175	FAM003916	FAM002473	FAM001441	FAM005836	FAM013011	FAM002547	FAM003567	FAM002167	FAM001048	FAM006433	FAM002121	FAM012499	FAM009404	FAM002250
rep315_seed2340	FAM003532	FAM001504	FAM000364	FAM003437	FAM004323	FAM011892	FAM001443	FAM003968	FAM000537	FAM002499	FAM000264	FAM008638	FAM004596	FAM004338	FAM010900	FAM012585	FAM007251	FAM006507
rep316_seed2341	FAM008681	FAM003048	FAM001647	FAM006667	FAM013242	FAM004540	FAM005719	FAM002010	FAM008032	FAM000300	FAM003439	FAM012164	FAM000767	FAM004517	FAM014060	FAM000336	FAM002618	FAM001261
rep317_seed2342	FAM001102	FAM004525	FAM005771	FAM008963	FAM007799	FAM007639	FAM005382	FAM002223	FAM012624	FAM011133	FAM009777	FAM004122	FAM004392	FAM000555	FAM011869	FAM000888	FAM010984	FAM010219
rep318_seed2343	FAM006876	FAM004487	FAM010919	FAM000058	FAM009817	FAM003149	FAM001539	FAM001431	FAM007697	FAM006310	FAM004828	FAM002162	FAM002763	FAM001416	FAM005700	FAM009414	FAM001327	FAM014266
rep319_seed2344	FAM012294	FAM000765	FAM000811	FAM001360	FAM001990	FAM005464	FAM000556	FAM003568	FAM001947	FAM005334	FAM002239	FAM004747	FAM002572	FAM002550	FAM001528	FAM002565	FAM011892	FAM012951
rep320_seed2345	FAM010289	FAM003345	FAM010284	FAM004117	FAM000021	FAM012308	FAM001941	FAM003721	FAM011412	FAM011058	FAM001495	FAM003248	FAM012823	FAM002493	FAM007121	FAM010076	FAM004189	FAM004254
rep321_seed2346	FAM002461	FAM005610	FAM004279	FAM004251	FAM001400	FAM006638	FAM001907	FAM008779	FAM008184	FAM007010	FAM012835	FAM000393	FAM004830	FAM006038	FAM009870	FAM003660	FAM011276	FAM002623
rep322_seed2347	FAM001857	FAM000586	FAM007876	FAM001159	FAM002779	FAM001280	FAM004070	FAM000105	FAM001689	FAM006761	FAM008437	FAM010519	FAM003326	FAM007201	FAM007844	FAM008923	FAM003909	FAM003599
rep323_seed2348	FAM002154	FAM008508	FAM005825	FAM012681	FAM007054	FAM002327	FAM000227	FAM001609	FAM009092	FAM003490	FAM006798	FAM000850	FAM009953	FAM008121	FAM005547	FAM004955	FAM000133	FAM003841
rep324_seed2349	FAM002750	FAM003449	FAM008642	FAM003671	FAM005412	FAM008039	FAM004202	FAM009096	FAM002022	FAM004179	FAM002691	FAM000351	FAM001041	FAM001739	FAM001891	FAM008242	FAM005774	FAM004893
rep325_seed2350	FAM009726	FAM009528	FAM005086	FAM011756	FAM004805	FAM007214	FAM002459	FAM013212	FAM004821	FAM000845	FAM001955	FAM008466	FAM014636	FAM003184	FAM001118	FAM004565	FAM009724	FAM000359
rep326_seed2351	FAM000839	FAM008359	FAM001219	FAM010978	FAM004487	FAM005108	FAM005418	FAM001782	FAM010734	FAM007670	FAM002824	FAM003038	FAM002675	FAM008196	FAM002541	FAM001704	FAM002571	FAM003431
rep327_seed2352	FAM001810	FAM005501	FAM003832	FAM001147	FAM000410	FAM013316	FAM010924	FAM005020	FAM010692	FAM013120	FAM001170	FAM000999	FAM008322	FAM003012	FAM008056	FAM003881	FAM002535	FAM005174
rep328_seed2353	FAM006236	FAM011143	FAM009091	FAM007055	FAM006595	FAM000771	FAM013796	FAM008681	FAM002355	FAM003009	FAM013808	FAM010544	FAM006362	FAM001400	FAM001035	FAM001337	FAM003217	FAM002986
rep329_seed2354	FAM004516	FAM005757	FAM009701	FAM004130	FAM009168	FAM003160	FAM007430	FAM012955	FAM000170	FAM008548	FAM013723	FAM008539	FAM011671	FAM001670	FAM002185	FAM000530	FAM009045	FAM000682
rep330_seed2355	FAM000757	FAM009598	FAM004516	FAM001268	FAM001530	FAM001658	FAM002800	FAM006038	FAM002763	FAM012632	FAM001679	FAM013864	FAM005863	FAM002058	FAM004924	FAM000588	FAM004367	FAM002807
rep331_seed2356	FAM002136	FAM000213	FAM002095	FAM002768	FAM002995	FAM000096	FAM000395	FAM010533	FAM000008	FAM005430	FAM001441	FAM006205	FAM000087	FAM011189	FAM006734	FAM004914	FAM000782	FAM005817
rep332_seed2357	FAM004775	FAM002214	FAM001306	FAM003040	FAM000699	FAM005157	FAM003114	FAM001477	FAM011622	FAM010070	FAM000654	FAM002026	FAM006468	FAM001110	FAM010446	FAM001452	FAM002880	FAM007714
rep333_seed2358	FAM000086	FAM004353	FAM003960	FAM001037	FAM013839	FAM009941	FAM001367	FAM000926	FAM004558	FAM009544	FAM006385	FAM006838	FAM001403	FAM000278	FAM007958	FAM004998	FAM000411	FAM002155
rep334_seed2359	FAM012493	FAM008710	FAM002816	FAM004155	FAM010751	FAM009454	FAM001627	FAM013724	FAM000563	FAM003070	FAM004954	FAM009955	FAM005088	FAM002303	FAM001906	FAM002942	FAM007715	FAM001873
rep335_seed2360	FAM004630	FAM005500	FAM001241	FAM004636	FAM006744	FAM000216	FAM004560	FAM001752	FAM009961	FAM006197	FAM009846	FAM007691	FAM006425	FAM003129	FAM003322	FAM001217	FAM005677	FAM001930
rep336_seed2361	FAM003773	FAM012630	FAM001126	FAM007055	FAM008087	FAM008695	FAM002201	FAM011978	FAM004509	FAM001398	FAM000244	FAM004293	FAM008253	FAM005319	FAM004247	FAM002039	FAM011795	FAM002671
rep337_seed2362	FAM004323	FAM001585	FAM011558	FAM005346	FAM000372	FAM006447	FAM006291	FAM000819	FAM014605	FAM002446	FAM001295	FAM001298	FAM007329	FAM004873	FAM003133	FAM008894	FAM003125	FAM000806
rep338_seed2363	FAM000028	FAM002595	FAM003149	FAM009418	FAM008005	FAM008029	FAM004092	FAM003565	FAM003394	FAM004416	FAM005326	FAM001598	FAM009376	FAM008080	FAM003318	FAM000515	FAM002567	FAM000946
rep339_seed2364	FAM006402	FAM013785	FAM002571	FAM003192	FAM002358	FAM002832	FAM009859	FAM003102	FAM010457	FAM000184	FAM008060	FAM002622	FAM013807	FAM004208	FAM000280	FAM001038	FAM003909	FAM005501
rep340_seed2365	FAM011673	FAM007177	FAM009515	FAM008492	FAM005447	FAM005338	FAM013472	FAM003579	FAM000942	FAM004170	FAM008196	FAM004889	FAM004297	FAM010160	FAM011825	FAM014019	FAM000589	FAM011738
rep341_seed2366	FAM009648	FAM012902	FAM001600	FAM010023	FAM001501	FAM009059	FAM002786	FAM005573	FAM010617	FAM010836	FAM001885	FAM005576	FAM013236	FAM000393	FAM009309	FAM007214	FAM004698	FAM000628
rep342_seed2367	FAM000343	FAM010714	FAM003950	FAM000969	FAM006098	FAM005817	FAM000952	FAM013410	FAM012928	FAM003115	FAM004704	FAM011294	FAM004729	FAM004182	FAM006242	FAM012828	FAM004194	FAM004960
rep343_seed2368	FAM002333	FAM005857	FAM002390	FAM008543	FAM000749	FAM004480	FAM004712	FAM001341	FAM004591	FAM014483	FAM000512	FAM000408	FAM012508	FAM004331	FAM006531	FAM000827	FAM007129	FAM001612
rep344_seed2369	FAM002064	FAM001765	FAM004426	FAM005526	FAM005841	FAM007810	FAM000794	FAM012308	FAM004985	FAM009163	FAM000231	FAM007188	FAM002667	FAM006220	FAM001638	FAM004813	FAM002898	FAM009334
rep345_seed2370	FAM001224	FAM004371	FAM000987	FAM000847	FAM006500	FAM000234	FAM008757	FAM000002	FAM002135	FAM010924	FAM000771	FAM007912	FAM004885	FAM012866	FAM005972	FAM009213	FAM001596	FAM001587
rep346_seed2371	FAM005413	FAM000850	FAM001865	FAM011838	FAM011076	FAM000444	FAM003849	FAM003036	FAM001483	FAM000384	FAM006033	FAM000430	FAM002230	FAM007133	FAM008445	FAM000014	FAM003685	FAM009169
rep347_seed2372	FAM002963	FAM003928	FAM009426	FAM002211	FAM009583	FAM005460	FAM001171	FAM009512	FAM004083	FAM003122	FAM001570	FAM000745	FAM011898	FAM008874	FAM005215	FAM006567	FAM010410	FAM008113
rep348_seed2373	FAM002988	FAM006428	FAM005326	FAM009699	FAM001727	FAM007239	FAM002704	FAM008302	FAM004662	FAM007162	FAM002131	FAM001355	FAM012681	FAM004155	FAM003445	FAM011671	FAM003506	FAM003470
rep349_seed2374	FAM013591	FAM011248	FAM000938	FAM007083	FAM009676	FAM009687	FAM001066	FAM003725	FAM003015	FAM013612	FAM009039	FAM004259	FAM001588	FAM002620	FAM002177	FAM006145	FAM003682	FAM004502
rep350_seed2375	FAM009134	FAM001690	FAM003828	FAM005213	FAM002145	FAM002530	FAM002487	FAM001956	FAM013965	FAM001430	FAM006318	FAM001200	FAM010451	FAM002385	FAM012978	FAM000200	FAM002661	FAM004520
rep351_seed2376	FAM012716	FAM002773	FAM009684	FAM002807	FAM006362	FAM008737	FAM005570	FAM000543	FAM010668	FAM009873	FAM013155	FAM005287	FAM004877	FAM013698	FAM007907	FAM005069	FAM009608	FAM003485
rep352_seed2377	FAM000526	FAM009859	FAM005178	FAM001194	FAM008002	FAM011621	FAM000589	FAM004470	FAM004471	FAM004886	FAM004984	FAM005108	FAM001570	FAM001213	FAM003096	FAM000249	FAM007998	FAM013337
rep353_seed2378	FAM005292	FAM009467	FAM005733	FAM003760	FAM009169	FAM000189	FAM011434	FAM010633	FAM006327	FAM002322	FAM001565	FAM004803	FAM006150	FAM006501	FAM000564	FAM002814	FAM004846	FAM009010
rep354_seed2379	FAM010302	FAM004478	FAM001247	FAM012465	FAM003320	FAM001865	FAM012547	FAM004646	FAM000807	FAM009516	FAM002104	FAM007580	FAM004660	FAM001094	FAM012293	FAM001238	FAM002520	FAM009559
rep355_seed2380	FAM005934	FAM010638	FAM002283	FAM003416	FAM007364	FAM012386	FAM010098	FAM001161	FAM009317	FAM011021	FAM001295	FAM002681	FAM000365	FAM005087	FAM000333	FAM008689	FAM000058	FAM002634
rep356_seed2381	FAM001491	FAM009632	FAM004547	FAM001049	FAM000104	FAM000390	FAM002247	FAM001896	FAM002953	FAM009628	FAM008080	FAM001426	FAM009807	FAM006334	FAM001736	FAM002197	FAM004791	FAM002521
rep357_seed2382	FAM002275	FAM012867	FAM001815	FAM000821	FAM002710	FAM002488	FAM009461	FAM005539	FAM000946	FAM004674	FAM007742	FAM001887	FAM009701	FAM009557	FAM001478	FAM001924	FAM006081	FAM006237
rep358_seed2383	FAM002147	FAM002329	FAM005412	FAM009398	FAM004022	FAM004324	FAM003507	FAM000829	FAM001331	FAM009384	FAM003032	FAM007283	FAM002679	FAM002012	FAM005430	FAM005431	FAM002947	FAM011627
rep359_seed2384	FAM004345	FAM006892	FAM002664	FAM001222	FAM004750	FAM006403	FAM002525	FAM003320	FAM008290	FAM010651	FAM013276	FAM003781	FAM002615	FAM012746	FAM008754	FAM008755	FAM001261	FAM012828
rep360_seed2385	FAM003433	FAM010735	FAM000698	FAM004454	FAM001342	FAM006095	FAM002370	FAM000766	FAM003382	FAM002725	FAM002518	FAM003159	FAM008796	FAM001360	FAM001446	FAM007858	FAM011345	FAM001652
rep361_seed2386	FAM006728	FAM003453	FAM009081	FAM000001	FAM000287	FAM001947	FAM002303	FAM005767	FAM000663	FAM000888	FAM002253	FAM001921	FAM009023	FAM008118	FAM008737	FAM003055	FAM002977	FAM011277
rep362_seed2387	FAM007541	FAM010650	FAM008056	FAM002070	FAM004927	FAM008642	FAM001227	FAM004339	FAM012294	FAM002241	FAM003534	FAM013748	FAM000345	FAM004371	FAM012326	FAM010039	FAM002792	FAM000965
rep363_seed2388	FAM000941	FAM002071	FAM008035	FAM002674	FAM002778	FAM013596	FAM003402	FAM012962	FAM000021	FAM006439	FAM005465	FAM013994	FAM006730	FAM001105	FAM000281	FAM000506	FAM004281	FAM000394
rep364_seed2389	FAM000041	FAM000684	FAM009001	FAM000876	FAM000748	FAM002567	FAM004685	FAM004672	FAM008002	FAM001842	FAM007423	FAM006459	FAM010073	FAM003550	FAM001869	FAM004508	FAM006534	FAM009777
rep365_seed2390	FAM005524	FAM005912	FAM002763	FAM001349	FAM008313	FAM000817	FAM001851	FAM001915	FAM002839	FAM000807	FAM002715	FAM003270	FAM002004	FAM002670	FAM009105	FAM001706	FAM003950	FAM003105
