rep000_seed0000	CFF000437	CFF000083	CFF000899	CFF000672	CFF000209	CFF001554	CFF000558	CFF000013	CFF000810	CFF000063	CFF000072	CFF001243	CFF016868	CFF000228	CFF000331
rep140_seed2165	FAM003422	FAM003167	FAM000663	FAM001942	FAM004778	FAM002135	FAM007512	FAM006138	FAM000087	FAM002364	FAM002171	FAM007896	FAM009710	FAM003863	FAM022818
rep141_seed2166	FAM000538	FAM012540	FAM007516	FAM006111	FAM009120	FAM006314	FAM002114	FAM006054	FAM000117	FAM002087	FAM003685	FAM013921	FAM010376	FAM007115	FAM017319
rep142_seed2167	FAM007746	FAM007896	FAM004925	FAM002789	FAM006895	FAM005926	FAM005978	FAM000517	FAM005229	FAM005271	FAM009513	FAM006373	FAM000606	FAM000869	FAM016040
rep143_seed2168	FAM001628	FAM005364	FAM001705	FAM003624	FAM006652	FAM012588	FAM011932	FAM008540	FAM005339	FAM001377	FAM001658	FAM006446	FAM000053	FAM000644	FAM027300
rep144_seed2169	FAM003503	FAM003630	FAM007655	FAM000744	FAM008540	FAM013206	FAM001851	FAM002195	FAM004481	FAM011867	FAM009293	FAM000641	FAM001290	FAM003625	FAM022991
rep145_seed2170	FAM005292	FAM001283	FAM005286	FAM009293	FAM005174	FAM004468	FAM002292	FAM005973	FAM005794	FAM008281	FAM000327	FAM001020	FAM007427	FAM005495	FAM026493
rep146_seed2171	FAM011861	FAM002528	FAM005840	FAM008303	FAM007526	FAM005518	FAM004761	FAM004740	FAM006652	FAM001195	FAM003300	FAM013849	FAM000143	FAM007591	FAM021568
rep147_seed2172	FAM007068	FAM000983	FAM004485	FAM006198	FAM001247	FAM007797	FAM007648	FAM007090	FAM009345	FAM001348	FAM008812	FAM001156	FAM002659	FAM010202	FAM029011
rep148_seed2173	FAM001220	FAM006286	FAM001618	FAM013469	FAM005858	FAM003208	FAM006661	FAM012390	FAM006054	FAM007228	FAM003752	FAM009654	FAM003496	FAM002553	FAM019917
rep149_seed2174	FAM003885	FAM001445	FAM001582	FAM000816	FAM014355	FAM011248	FAM008167	FAM001298	FAM010076	FAM012375	FAM006106	FAM009113	FAM007966	FAM011514	FAM016315
rep150_seed2175	FAM001843	FAM005713	FAM004449	FAM004516	FAM011538	FAM002215	FAM003815	FAM007075	FAM004138	FAM005536	FAM010494	FAM013780	FAM001979	FAM002679	FAM022085
rep151_seed2176	FAM002580	FAM000820	FAM000940	FAM002645	FAM002549	FAM008549	FAM004557	FAM014175	FAM000950	FAM002682	FAM006414	FAM003253	FAM007211	FAM001256	FAM014887
rep152_seed2177	FAM009877	FAM001875	FAM002964	FAM002942	FAM004906	FAM010364	FAM002051	FAM012501	FAM012101	FAM005612	FAM003259	FAM010409	FAM004216	FAM007090	FAM025628
rep153_seed2178	FAM004640	FAM000859	FAM001915	FAM005378	FAM012848	FAM011885	FAM001981	FAM012876	FAM004977	FAM006358	FAM010809	FAM003516	FAM001363	FAM003678	FAM026518
rep154_seed2179	FAM000816	FAM002219	FAM008824	FAM009038	FAM010334	FAM008830	FAM006730	FAM001926	FAM004366	FAM002594	FAM003346	FAM012339	FAM006442	FAM012863	FAM024345
rep155_seed2180	FAM006728	FAM005805	FAM004784	FAM002594	FAM008232	FAM014279	FAM003193	FAM002371	FAM004279	FAM002557	FAM005110	FAM000709	FAM007863	FAM002851	FAM019486
rep156_seed2181	FAM000365	FAM008505	FAM003392	FAM004267	FAM005987	FAM000534	FAM002641	FAM001411	FAM004241	FAM002218	FAM006368	FAM008443	FAM002678	FAM006862	FAM019479
rep157_seed2182	FAM000813	FAM003533	FAM000508	FAM004361	FAM003804	FAM007012	FAM006963	FAM011915	FAM004251	FAM001397	FAM004753	FAM010135	FAM000609	FAM000096	FAM020292
rep158_seed2183	FAM001399	FAM005257	FAM002018	FAM011376	FAM000372	FAM013417	FAM004091	FAM004701	FAM007926	FAM008998	FAM003722	FAM006995	FAM006687	FAM003843	FAM021497
rep159_seed2184	FAM009055	FAM003744	FAM013709	FAM003034	FAM003115	FAM004434	FAM003110	FAM005073	FAM004613	FAM005858	FAM007270	FAM007244	FAM001682	FAM002600	FAM019254
rep160_seed2185	FAM004919	FAM008416	FAM012771	FAM001960	FAM009758	FAM001592	FAM013500	FAM010076	FAM007062	FAM001627	FAM012227	FAM006263	FAM000199	FAM003093	FAM028264
rep161_seed2186	FAM000246	FAM005713	FAM003002	FAM009906	FAM012345	FAM005826	FAM000623	FAM006140	FAM013028	FAM008706	FAM000189	FAM001060	FAM001491	FAM004139	FAM024951
rep162_seed2187	FAM000582	FAM001005	FAM013177	FAM007240	FAM004704	FAM012024	FAM003280	FAM002690	FAM004246	FAM009954	FAM006957	FAM003206	FAM005145	FAM000677	FAM024856
rep163_seed2188	FAM004264	FAM004524	FAM010569	FAM003701	FAM000588	FAM002367	FAM002810	FAM004122	FAM010150	FAM004838	FAM005551	FAM006470	FAM000782	FAM004319	FAM015787
rep164_seed2189	FAM003644	FAM003831	FAM000956	FAM000593	FAM008807	FAM006531	FAM004335	FAM000962	FAM009406	FAM000405	FAM003416	FAM002724	FAM005939	FAM006882	FAM022137
rep165_seed2190	FAM002925	FAM001820	FAM001029	FAM006752	FAM005581	FAM000073	FAM008120	FAM001318	FAM000660	FAM004068	FAM002242	FAM013671	FAM003554	FAM008966	FAM022462
rep166_seed2191	FAM005471	FAM010332	FAM000465	FAM000361	FAM000171	FAM006014	FAM000341	FAM004581	FAM005311	FAM010484	FAM006938	FAM012222	FAM005341	FAM004573	FAM016773
rep167_seed2192	FAM007180	FAM000773	FAM001454	FAM001993	FAM006611	FAM007445	FAM010635	FAM001466	FAM004589	FAM012026	FAM004177	FAM004617	FAM004665	FAM007635	FAM023546
rep168_seed2193	FAM012008	FAM004809	FAM005689	FAM013251	FAM007993	FAM012913	FAM008225	FAM001861	FAM003396	FAM003941	FAM005752	FAM011885	FAM008183	FAM007347	FAM018980
rep169_seed2194	FAM001620	FAM000034	FAM010678	FAM011708	FAM012978	FAM002164	FAM002024	FAM003462	FAM006244	FAM005460	FAM003811	FAM011467	FAM011350	FAM007072	FAM022872
rep170_seed2195	FAM001905	FAM001434	FAM014306	FAM000697	FAM011454	FAM013715	FAM005478	FAM003153	FAM011412	FAM005398	FAM000496	FAM008698	FAM011345	FAM000755	FAM022991
rep171_seed2196	FAM006651	FAM013122	FAM006849	FAM001530	FAM007277	FAM001783	FAM000661	FAM004882	FAM014012	FAM007823	FAM002625	FAM003283	FAM000266	FAM004439	FAM017562
rep172_seed2197	FAM000961	FAM003607	FAM004177	FAM004262	FAM002983	FAM000881	FAM002442	FAM001815	FAM006867	FAM004495	FAM011166	FAM013300	FAM013420	FAM005039	FAM023196
rep173_seed2198	FAM006954	FAM007536	FAM013000	FAM001489	FAM008022	FAM008240	FAM011123	FAM010497	FAM000313	FAM005703	FAM004589	FAM007183	FAM000103	FAM001330	FAM021225
rep174_seed2199	FAM002402	FAM004803	FAM002028	FAM007240	FAM006836	FAM007730	FAM010916	FAM012637	FAM003750	FAM005742	FAM011766	FAM002278	FAM001812	FAM009514	FAM023603
rep175_seed2200	FAM009443	FAM004883	FAM009809	FAM003016	FAM000156	FAM005441	FAM003498	FAM010507	FAM005490	FAM004592	FAM007474	FAM003943	FAM008538	FAM001801	FAM015262
rep176_seed2201	FAM012493	FAM013526	FAM002959	FAM002772	FAM005088	FAM007565	FAM009252	FAM002297	FAM006032	FAM004492	FAM000397	FAM004168	FAM007888	FAM003066	FAM016762
rep177_seed2202	FAM013992	FAM004827	FAM009317	FAM006744	FAM005449	FAM005750	FAM003502	FAM001072	FAM000611	FAM004280	FAM007632	FAM001222	FAM007246	FAM008757	FAM022137
rep178_seed2203	FAM011146	FAM007590	FAM009056	FAM002514	FAM013946	FAM010217	FAM001455	FAM007134	FAM011390	FAM003173	FAM007613	FAM001279	FAM001534	FAM002867	FAM022667
rep179_seed2204	FAM011635	FAM006857	FAM006692	FAM002923	FAM002132	FAM013807	FAM006331	FAM005841	FAM005740	FAM007680	FAM010455	FAM000675	FAM003886	FAM005916	FAM025952
rep180_seed2205	FAM009953	FAM008467	FAM005341	FAM007459	FAM004353	FAM009277	FAM008658	FAM005780	FAM002865	FAM002441	FAM009298	FAM007910	FAM002928	FAM008423	FAM023916
rep181_seed2206	FAM001848	FAM007100	FAM000916	FAM003480	FAM005006	FAM008044	FAM008020	FAM006261	FAM005545	FAM010657	FAM005500	FAM005204	FAM005381	FAM001634	FAM020965
rep182_seed2207	FAM006562	FAM014064	FAM011753	FAM013016	FAM010518	FAM002793	FAM001161	FAM007328	FAM003893	FAM001312	FAM002955	FAM008676	FAM003042	FAM003987	FAM025444
rep183_seed2208	FAM007263	FAM010028	FAM014355	FAM012687	FAM009027	FAM001889	FAM009544	FAM006851	FAM014228	FAM007641	FAM000787	FAM003818	FAM001763	FAM004676	FAM026800
rep184_seed2209	FAM008651	FAM006343	FAM011840	FAM001125	FAM011944	FAM001083	FAM007686	FAM008489	FAM001854	FAM003719	FAM001969	FAM005663	FAM001100	FAM001129	FAM021610
rep185_seed2210	FAM005518	FAM000197	FAM004861	FAM014483	FAM000932	FAM004419	FAM006262	FAM005591	FAM005767	FAM004510	FAM010267	FAM003789	FAM008788	FAM001471	FAM028904
rep186_seed2211	FAM007062	FAM002188	FAM002915	FAM000547	FAM003200	FAM000078	FAM005213	FAM004937	FAM000886	FAM007616	FAM011771	FAM002308	FAM010463	FAM000638	FAM025904
rep187_seed2212	FAM002470	FAM009472	FAM003331	FAM006743	FAM008674	FAM008867	FAM011668	FAM001886	FAM000094	FAM000937	FAM001168	FAM007873	FAM009235	FAM004703	FAM015721
rep188_seed2213	FAM002357	FAM001517	FAM000255	FAM005623	FAM001731	FAM000861	FAM001738	FAM007981	FAM004557	FAM006132	FAM001687	FAM008601	FAM000704	FAM005688	FAM027058
rep189_seed2214	FAM002650	FAM007301	FAM003990	FAM008324	FAM004123	FAM003308	FAM003222	FAM001367	FAM005267	FAM003415	FAM011878	FAM001612	FAM000761	FAM001542	FAM015387
rep190_seed2215	FAM002380	FAM008942	FAM006334	FAM012166	FAM000838	FAM006833	FAM002351	FAM002720	FAM012835	FAM001222	FAM011589	FAM011575	FAM008056	FAM000187	FAM021225
rep191_seed2216	FAM011292	FAM005887	FAM005322	FAM006766	FAM000646	FAM013261	FAM006972	FAM000813	FAM010073	FAM002402	FAM011200	FAM005867	FAM012607	FAM004147	FAM020108
rep192_seed2217	FAM003933	FAM009262	FAM002515	FAM002417	FAM008011	FAM008623	FAM001303	FAM004973	FAM004640	FAM013781	FAM007024	FAM000450	FAM011563	FAM003654	FAM019395
rep193_seed2218	FAM003507	FAM008539	FAM003405	FAM008772	FAM013028	FAM000800	FAM007850	FAM000741	FAM003436	FAM000188	FAM004369	FAM003178	FAM008334	FAM004740	FAM018128
rep194_seed2219	FAM004786	FAM008858	FAM012198	FAM009970	FAM005101	FAM014654	FAM001638	FAM010815	FAM010758	FAM011279	FAM011237	FAM002494	FAM000074	FAM002255	FAM023351
rep195_seed2220	FAM004630	FAM006212	FAM005373	FAM008277	FAM005186	FAM013234	FAM000927	FAM008268	FAM013785	FAM008674	FAM001702	FAM006487	FAM003534	FAM011340	FAM023121
rep196_seed2221	FAM005465	FAM005521	FAM000800	FAM002409	FAM007946	FAM001769	FAM001706	FAM001468	FAM006495	FAM000716	FAM010502	FAM003688	FAM001588	FAM005168	FAM029099
rep197_seed2222	FAM007525	FAM010196	FAM012607	FAM003278	FAM000871	FAM000412	FAM004349	FAM002954	FAM009126	FAM004755	FAM009708	FAM002129	FAM006097	FAM004841	FAM016367
rep198_seed2223	FAM012307	FAM002139	FAM001440	FAM000982	FAM007705	FAM008935	FAM010372	FAM011494	FAM004062	FAM001350	FAM004934	FAM002458	FAM007673	FAM003921	FAM017600
rep199_seed2224	FAM003401	FAM010731	FAM002226	FAM004088	FAM001118	FAM003105	FAM013242	FAM001658	FAM000457	FAM000680	FAM008346	FAM005483	FAM012438	FAM000396	FAM019051
rep200_seed2225	FAM005344	FAM011671	FAM000286	FAM006912	FAM008601	FAM002237	FAM002855	FAM000852	FAM010167	FAM004232	FAM006272	FAM012493	FAM005689	FAM007746	FAM017600
rep201_seed2226	FAM004982	FAM003471	FAM008376	FAM004114	FAM003837	FAM005822	FAM013937	FAM002281	FAM012742	FAM003244	FAM004879	FAM000924	FAM013922	FAM000457	FAM028491
rep202_seed2227	FAM005497	FAM006210	FAM001743	FAM002900	FAM013131	FAM001750	FAM001928	FAM001195	FAM013992	FAM009276	FAM003777	FAM005673	FAM008615	FAM001145	FAM029000
rep203_seed2228	FAM001760	FAM000887	FAM007066	FAM009542	FAM002741	FAM000555	FAM008689	FAM006240	FAM009178	FAM004259	FAM009112	FAM005246	FAM005548	FAM000739	FAM020292
rep204_seed2229	FAM004744	FAM003492	FAM008207	FAM009433	FAM003083	FAM007744	FAM007910	FAM004794	FAM002229	FAM000755	FAM012162	FAM005151	FAM008915	FAM001413	FAM017463
rep205_seed2230	FAM003780	FAM002738	FAM007967	FAM005245	FAM005378	FAM001411	FAM000016	FAM006833	FAM012722	FAM007307	FAM012305	FAM007305	FAM008690	FAM004854	FAM022720
rep206_seed2231	FAM004463	FAM002847	FAM010771	FAM001367	FAM004787	FAM010525	FAM001253	FAM009767	FAM001168	FAM000144	FAM010922	FAM004170	FAM001613	FAM008444	FAM026134
rep207_seed2232	FAM006636	FAM001567	FAM003099	FAM001723	FAM003139	FAM002248	FAM004253	FAM006384	FAM002132	FAM006629	FAM009042	FAM007058	FAM002081	FAM004436	FAM028021
rep208_seed2233	FAM014266	FAM009572	FAM002746	FAM000944	FAM009051	FAM001668	FAM007244	FAM001827	FAM006813	FAM011782	FAM002540	FAM010385	FAM010290	FAM006060	FAM018712
rep209_seed2234	FAM002212	FAM002931	FAM005707	FAM001472	FAM000619	FAM003206	FAM009155	FAM003070	FAM008399	FAM004094	FAM004011	FAM002133	FAM004716	FAM008371	FAM015476
rep210_seed2235	FAM000118	FAM004310	FAM006700	FAM002504	FAM013716	FAM012856	FAM000519	FAM004695	FAM001886	FAM001432	FAM005477	FAM014658	FAM004930	FAM002735	FAM026677
rep211_seed2236	FAM012735	FAM009518	FAM014123	FAM006895	FAM000777	FAM004423	FAM009638	FAM013116	FAM002812	FAM002865	FAM006624	FAM005378	FAM008011	FAM004779	FAM016787
rep212_seed2237	FAM009211	FAM004123	FAM005890	FAM000830	FAM002095	FAM008474	FAM001621	FAM000502	FAM011986	FAM004590	FAM002874	FAM004366	FAM008088	FAM002820	FAM024867
rep213_seed2238	FAM002227	FAM001657	FAM000716	FAM006175	FAM009472	FAM003348	FAM002120	FAM006388	FAM001661	FAM000729	FAM000171	FAM000740	FAM008712	FAM004474	FAM026980
rep214_seed2239	FAM002501	FAM000019	FAM004511	FAM010398	FAM011622	FAM007159	FAM003640	FAM011002	FAM005998	FAM010256	FAM007216	FAM004379	FAM004332	FAM013624	FAM028021
rep215_seed2240	FAM001098	FAM014540	FAM006240	FAM010160	FAM000597	FAM012715	FAM007373	FAM013844	FAM002237	FAM001020	FAM010121	FAM001840	FAM000404	FAM005287	FAM023471
rep216_seed2241	FAM004736	FAM001884	FAM000690	FAM006860	FAM000314	FAM001417	FAM006520	FAM006390	FAM009181	FAM014611	FAM013785	FAM004152	FAM000317	FAM009431	FAM023082
rep217_seed2242	FAM004337	FAM011822	FAM000110	FAM005162	FAM004967	FAM013709	FAM001927	FAM008870	FAM004057	FAM000473	FAM013676	FAM001010	FAM003672	FAM003525	FAM028538
rep218_seed2243	FAM002096	FAM011578	FAM007426	FAM004016	FAM002202	FAM011417	FAM000386	FAM007010	FAM010417	FAM010678	FAM008023	FAM006380	FAM002143	FAM005306	FAM028166
rep219_seed2244	FAM009023	FAM005320	FAM003272	FAM004570	FAM006443	FAM013234	FAM004807	FAM001850	FAM009776	FAM003262	FAM006123	FAM008325	FAM009446	FAM007064	FAM020289
rep220_seed2245	FAM007590	FAM001398	FAM002513	FAM000518	FAM003780	FAM009155	FAM008383	FAM004204	FAM013834	FAM002334	FAM002415	FAM004148	FAM007442	FAM003988	FAM026665
rep221_seed2246	FAM001744	FAM005736	FAM003319	FAM008394	FAM010238	FAM001618	FAM009160	FAM002324	FAM004108	FAM004164	FAM005535	FAM011779	FAM005466	FAM008406	FAM018112
rep222_seed2247	FAM008942	FAM004575	FAM004371	FAM000978	FAM009945	FAM005244	FAM002293	FAM009332	FAM010469	FAM007581	FAM004975	FAM010164	FAM004090	FAM004991	FAM029003
rep223_seed2248	FAM003965	FAM008365	FAM004195	FAM012488	FAM002624	FAM007175	FAM007908	FAM004611	FAM006531	FAM003195	FAM010793	FAM005713	FAM007057	FAM006677	FAM027646
rep224_seed2249	FAM009967	FAM003514	FAM005687	FAM007180	FAM013787	FAM010056	FAM007858	FAM004753	FAM002279	FAM003489	FAM007175	FAM003457	FAM006656	FAM005394	FAM016584
rep225_seed2250	FAM007068	FAM004890	FAM008740	FAM005692	FAM003842	FAM001761	FAM001936	FAM011085	FAM000721	FAM000447	FAM004394	FAM004387	FAM007012	FAM001137	FAM018309
rep226_seed2251	FAM002972	FAM007348	FAM003452	FAM003210	FAM001620	FAM005430	FAM004588	FAM013028	FAM002146	FAM002398	FAM002604	FAM001911	FAM000147	FAM008525	FAM017988
rep227_seed2252	FAM006515	FAM001063	FAM002831	FAM008413	FAM008813	FAM004912	FAM011239	FAM004952	FAM003084	FAM004787	FAM005387	FAM011827	FAM007789	FAM008394	FAM024396
rep228_seed2253	FAM000548	FAM007358	FAM001054	FAM006787	FAM000054	FAM001910	FAM004901	FAM009948	FAM000436	FAM002188	FAM014674	FAM000520	FAM005756	FAM000455	FAM014968
rep229_seed2254	FAM001038	FAM011574	FAM003970	FAM004977	FAM007352	FAM013223	FAM007302	FAM006525	FAM007179	FAM000047	FAM010922	FAM000069	FAM001144	FAM013149	FAM016732
rep230_seed2255	FAM003817	FAM004424	FAM002161	FAM003611	FAM000937	FAM006724	FAM010575	FAM010423	FAM005975	FAM002931	FAM007246	FAM005750	FAM013838	FAM004228	FAM025066
rep231_seed2256	FAM004189	FAM000822	FAM004026	FAM005691	FAM004098	FAM004865	FAM002259	FAM000153	FAM002888	FAM003825	FAM003586	FAM007064	FAM008063	FAM002163	FAM023312
rep232_seed2257	FAM003347	FAM003418	FAM007729	FAM001269	FAM005909	FAM002464	FAM003071	FAM004616	FAM002696	FAM003695	FAM001685	FAM006910	FAM011981	FAM000584	FAM021142
rep233_seed2258	FAM011417	FAM002927	FAM006700	FAM000103	FAM000687	FAM010217	FAM000529	FAM002707	FAM003968	FAM002554	FAM007193	FAM002623	FAM003629	FAM014536	FAM025522
rep234_seed2259	FAM004177	FAM003006	FAM007482	FAM000838	FAM002666	FAM003085	FAM010510	FAM000261	FAM002885	FAM011344	FAM005377	FAM001013	FAM006695	FAM004341	FAM015565
rep235_seed2260	FAM002724	FAM006441	FAM009344	FAM003171	FAM002830	FAM004091	FAM012255	FAM005010	FAM001156	FAM007309	FAM003698	FAM004581	FAM000790	FAM002478	FAM015140
rep236_seed2261	FAM009647	FAM002201	FAM002636	FAM007319	FAM012208	FAM011374	FAM004271	FAM011155	FAM013530	FAM003904	FAM013648	FAM005645	FAM002108	FAM003302	FAM016947
rep237_seed2262	FAM001409	FAM002413	FAM000732	FAM003215	FAM006930	FAM011390	FAM001804	FAM008722	FAM000057	FAM001771	FAM011689	FAM000720	FAM008361	FAM012237	FAM015120
rep238_seed2263	FAM001579	FAM003833	FAM001685	FAM005034	FAM007829	FAM011021	FAM002753	FAM001055	FAM011715	FAM004300	FAM006506	FAM012258	FAM010815	FAM007379	FAM014860
rep239_seed2264	FAM007803	FAM010040	FAM003639	FAM010202	FAM000627	FAM003676	FAM001319	FAM001354	FAM001714	FAM001507	FAM000147	FAM004818	FAM003163	FAM001618	FAM018105
rep240_seed2265	FAM004080	FAM000483	FAM003548	FAM000775	FAM005758	FAM005499	FAM002300	FAM008252	FAM006307	FAM011836	FAM000550	FAM004687	FAM002427	FAM003964	FAM016587
rep241_seed2266	FAM009815	FAM012782	FAM009880	FAM004105	FAM007586	FAM000697	FAM000352	FAM001208	FAM004306	FAM007445	FAM003336	FAM000002	FAM004148	FAM008448	FAM022174
rep242_seed2267	FAM010990	FAM006280	FAM010423	FAM006860	FAM011585	FAM009506	FAM005907	FAM001655	FAM000458	FAM002503	FAM009959	FAM009550	FAM003251	FAM003109	FAM027539
rep243_seed2268	FAM008120	FAM013767	FAM006181	FAM007027	FAM004900	FAM000858	FAM004930	FAM007124	FAM006739	FAM001586	FAM001339	FAM000570	FAM009692	FAM004532	FAM025952
rep244_seed2269	FAM005826	FAM001717	FAM007618	FAM002622	FAM011113	FAM010834	FAM012237	FAM004870	FAM013984	FAM011000	FAM000896	FAM003491	FAM001739	FAM009959	FAM027997
rep245_seed2270	FAM012778	FAM013122	FAM000488	FAM004969	FAM009559	FAM005622	FAM005806	FAM002519	FAM000394	FAM004464	FAM008092	FAM004949	FAM005898	FAM008829	FAM019735
rep246_seed2271	FAM004137	FAM003389	FAM009410	FAM001230	FAM001301	FAM001086	FAM000303	FAM002561	FAM002594	FAM007974	FAM001895	FAM007267	FAM000223	FAM005000	FAM023885
rep247_seed2272	FAM000377	FAM014413	FAM010970	FAM002099	FAM002075	FAM011470	FAM006902	FAM005062	FAM010712	FAM009732	FAM001195	FAM013616	FAM004395	FAM010663	FAM028904
rep248_seed2273	FAM004861	FAM001533	FAM000441	FAM002063	FAM002791	FAM005859	FAM002771	FAM006753	FAM001398	FAM007295	FAM005721	FAM012335	FAM009124	FAM005040	FAM020202
rep249_seed2274	FAM001853	FAM000494	FAM000564	FAM001628	FAM006938	FAM003147	FAM011504	FAM005307	FAM001588	FAM007032	FAM003832	FAM010933	FAM003576	FAM011658	FAM026251
rep250_seed2275	FAM002622	FAM002425	FAM008217	FAM001909	FAM001943	FAM000961	FAM005024	FAM004604	FAM004740	FAM003841	FAM008804	FAM000509	FAM002419	FAM009358	FAM016687
rep251_seed2276	FAM009825	FAM003457	FAM002347	FAM003033	FAM003619	FAM001730	FAM002246	FAM000859	FAM000592	FAM007461	FAM000408	FAM003766	FAM009724	FAM007685	FAM017643
rep252_seed2277	FAM000869	FAM001700	FAM001063	FAM003029	FAM003929	FAM007046	FAM007382	FAM004491	FAM001512	FAM002361	FAM005845	FAM004513	FAM003903	FAM012877	FAM022562
rep253_seed2278	FAM007448	FAM008960	FAM004100	FAM005155	FAM002942	FAM014459	FAM001414	FAM009135	FAM004598	FAM009219	FAM009935	FAM001528	FAM005675	FAM000343	FAM028937
rep254_seed2279	FAM009268	FAM004653	FAM002951	FAM011279	FAM001605	FAM005051	FAM001307	FAM001776	FAM004616	FAM000290	FAM010224	FAM003794	FAM010324	FAM000790	FAM026299
rep255_seed2280	FAM006159	FAM000305	FAM004053	FAM003434	FAM011400	FAM002986	FAM002602	FAM005998	FAM003492	FAM003596	FAM001154	FAM007889	FAM008168	FAM006997	FAM015937
rep256_seed2281	FAM003608	FAM006808	FAM001540	FAM012162	FAM006041	FAM009125	FAM009814	FAM003022	FAM000595	FAM005676	FAM001025	FAM005061	FAM013526	FAM002960	FAM023184
rep257_seed2282	FAM001212	FAM001717	FAM003201	FAM003829	FAM007228	FAM005714	FAM012237	FAM002797	FAM008552	FAM002398	FAM014636	FAM003427	FAM001045	FAM007088	FAM016367
rep258_seed2283	FAM013838	FAM003050	FAM004183	FAM000088	FAM004213	FAM007190	FAM003259	FAM005544	FAM004857	FAM007919	FAM000660	FAM011021	FAM002348	FAM004250	FAM025371
rep259_seed2284	FAM001855	FAM001764	FAM000620	FAM009772	FAM011959	FAM004160	FAM006368	FAM001395	FAM004303	FAM001185	FAM006462	FAM002636	FAM001127	FAM001984	FAM023885
rep260_seed2285	FAM014408	FAM004071	FAM009500	FAM001681	FAM001819	FAM007105	FAM004299	FAM008514	FAM004894	FAM001578	FAM009033	FAM010688	FAM007893	FAM009967	FAM023048
rep261_seed2286	FAM001101	FAM000158	FAM003299	FAM002493	FAM006062	FAM007023	FAM009600	FAM005188	FAM002077	FAM006024	FAM013425	FAM013206	FAM004306	FAM011854	FAM020750
rep262_seed2287	FAM008065	FAM001984	FAM004470	FAM012865	FAM000492	FAM008149	FAM005111	FAM003413	FAM002282	FAM010225	FAM003162	FAM004475	FAM010709	FAM003343	FAM028934
rep263_seed2288	FAM013442	FAM005470	FAM005837	FAM012108	FAM004317	FAM003408	FAM004177	FAM005622	FAM009405	FAM005536	FAM008082	FAM000092	FAM009877	FAM013780	FAM020320
rep264_seed2289	FAM004121	FAM012383	FAM003154	FAM013506	FAM002401	FAM003347	FAM000897	FAM002902	FAM013722	FAM000476	FAM005368	FAM007850	FAM002259	FAM000531	FAM022580
rep265_seed2290	FAM002690	FAM003243	FAM004074	FAM013911	FAM013566	FAM000713	FAM003349	FAM007187	FAM006911	FAM002449	FAM008701	FAM006694	FAM002618	FAM001842	FAM018259
rep266_seed2291	FAM005166	FAM007533	FAM006504	FAM009710	FAM008129	FAM002001	FAM002308	FAM003098	FAM005104	FAM000057	FAM003347	FAM003187	FAM001716	FAM005318	FAM019547
rep267_seed2292	FAM010398	FAM004361	FAM003028	FAM013073	FAM005309	FAM007563	FAM008687	FAM011427	FAM009963	FAM002927	FAM003025	FAM008966	FAM012794	FAM004568	FAM023417
rep268_seed2293	FAM006354	FAM000866	FAM005429	FAM002035	FAM006396	FAM008867	FAM006432	FAM010525	FAM002194	FAM003787	FAM001293	FAM005543	FAM001473	FAM000233	FAM019978
rep269_seed2294	FAM004385	FAM002035	FAM011551	FAM002234	FAM005245	FAM003094	FAM013253	FAM007747	FAM004997	FAM001274	FAM005350	FAM003092	FAM004656	FAM006082	FAM023351
rep270_seed2295	FAM007124	FAM006983	FAM009564	FAM001252	FAM013457	FAM006492	FAM012425	FAM006298	FAM003888	FAM004336	FAM007340	FAM004469	FAM006953	FAM009664	FAM022982
rep271_seed2296	FAM000243	FAM004585	FAM000685	FAM011937	FAM001011	FAM007955	FAM000585	FAM011306	FAM004933	FAM002185	FAM010685	FAM001586	FAM000341	FAM003315	FAM021080
rep272_seed2297	FAM000312	FAM000999	FAM005267	FAM001269	FAM004237	FAM005334	FAM000655	FAM002002	FAM001085	FAM007189	FAM004016	FAM011087	FAM002302	FAM001140	FAM023176
rep273_seed2298	FAM010526	FAM003070	FAM008985	FAM001284	FAM003923	FAM012215	FAM006084	FAM010984	FAM011102	FAM001603	FAM008610	FAM001342	FAM001414	FAM006152	FAM015721
rep274_seed2299	FAM006614	FAM001780	FAM003203	FAM002651	FAM004583	FAM005410	FAM003033	FAM001259	FAM005021	FAM008108	FAM000337	FAM001466	FAM001315	FAM004295	FAM019547
rep275_seed2300	FAM000563	FAM007985	FAM009358	FAM003982	FAM004122	FAM012610	FAM004524	FAM011672	FAM000786	FAM006230	FAM003184	FAM008467	FAM003768	FAM001591	FAM017122
rep276_seed2301	FAM003446	FAM010353	FAM003961	FAM007537	FAM013484	FAM012180	FAM007289	FAM002507	FAM013608	FAM002205	FAM006821	FAM004829	FAM005326	FAM001698	FAM015387
rep277_seed2302	FAM005044	FAM010728	FAM004082	FAM009534	FAM003985	FAM002778	FAM000386	FAM003325	FAM003033	FAM000305	FAM002890	FAM008558	FAM001610	FAM005409	FAM026530
rep278_seed2303	FAM006101	FAM001493	FAM004111	FAM006893	FAM009904	FAM001938	FAM007894	FAM001185	FAM010418	FAM002639	FAM002297	FAM000608	FAM005930	FAM011537	FAM015019
rep279_seed2304	FAM009721	FAM004759	FAM006139	FAM004444	FAM013712	FAM006279	FAM000307	FAM004851	FAM014503	FAM000894	FAM011242	FAM009051	FAM004318	FAM007394	FAM016729
